x,y,yaw
5.3289,1.1460,0.37871
5.3757,1.1637,0.34300
5.4230,1.1796,0.30581
5.4710,1.1938,0.27100
5.5194,1.2064,0.23751
5.5681,1.2173,0.20556
5.6172,1.2268,0.17504
5.6666,1.2348,0.14594
5.7161,1.2414,0.11824
5.7658,1.2466,0.09190
5.8157,1.2506,0.06693
5.8656,1.2533,0.04327
5.9155,1.2549,0.02095
5.9655,1.2554,-0.00007
6.0155,1.2549,-0.01977
6.0655,1.2535,-0.03818
6.1154,1.2511,-0.05529
6.1653,1.2480,-0.07111
6.2151,1.2440,-0.08563
6.2649,1.2394,-0.09886
6.3146,1.2342,-0.11080
6.3643,1.2284,-0.12144
6.4139,1.2221,-0.13079
6.4634,1.2154,-0.13884
6.5129,1.2083,-0.14560
6.5623,1.2009,-0.15106
6.6117,1.1933,-0.15523
6.6611,1.1855,-0.15810
6.7105,1.1775,-0.15968
6.7598,1.1696,-0.15996
6.8092,1.1616,-0.15895
6.8586,1.1538,-0.15666
6.9079,1.1461,-0.15307
6.9574,1.1386,-0.14821
7.0068,1.1313,-0.14206
7.0563,1.1244,-0.13464
7.1059,1.1179,-0.12595
7.1555,1.1119,-0.11600
7.2052,1.1064,-0.10477
7.2550,1.1014,-0.09228
7.3048,1.0972,-0.07854
7.3546,1.0936,-0.06354
7.4046,1.0909,-0.04728
7.4545,1.0889,-0.02974
7.5045,1.0879,-0.01095
7.5545,1.0878,0.00912
7.6045,1.0888,0.03047
7.6544,1.0909,0.05309
7.7043,1.0942,0.07702
7.7541,1.0986,0.10226
7.8037,1.1044,0.12882
7.8532,1.1115,0.15673
7.9025,1.1200,0.18602
7.9515,1.1300,0.21672
8.0001,1.1415,0.24886
8.0483,1.1547,0.28249
8.0961,1.1694,0.31766
8.1433,1.1859,0.35443
8.1898,1.2041,0.39287
8.2356,1.2242,0.43306
8.2805,1.2461,0.47508
8.3245,1.2699,0.51904
8.3673,1.2957,0.56505
8.4089,1.3235,0.61322
8.4490,1.3533,0.66366
8.4876,1.3851,0.71655
8.5243,1.4189,0.77207
8.5591,1.4548,0.83045
8.5917,1.4927,0.89192
8.6218,1.5326,0.95676
8.6492,1.5744,1.02525
8.6736,1.6181,1.09791
8.6946,1.6634,1.17476
8.7120,1.7102,1.25713
8.7254,1.7584,1.34363
8.7346,1.8075,1.42480
8.7399,1.8572,1.50431
8.7413,1.9072,1.58154
8.7389,1.9571,1.65715
8.7327,2.0067,1.73149
8.7229,2.0557,1.80497
8.7095,2.1039,1.87792
8.6927,2.1509,1.95059
8.6725,2.1966,2.02304
8.6491,2.2408,2.09536
8.6225,2.2831,2.16544
8.5932,2.3236,2.23089
8.5613,2.3621,2.29276
8.5272,2.3986,2.35122
8.4910,2.4331,2.40662
8.4531,2.4656,2.45925
8.4135,2.4962,2.50929
8.3725,2.5247,2.55694
8.3302,2.5514,2.60236
8.2867,2.5761,2.64569
8.2423,2.5990,2.68702
8.1969,2.6200,2.72647
8.1508,2.6393,2.76411
8.1040,2.6569,2.80002
8.0566,2.6728,2.83423
8.0088,2.6871,2.86682
7.9604,2.7000,2.89782
7.9117,2.7113,2.92726
7.8628,2.7212,2.95517
7.8135,2.7298,2.98159
7.7641,2.7372,3.00652
7.7145,2.7433,3.02998
7.6647,2.7483,3.05198
7.6149,2.7523,3.07254
7.5650,2.7553,3.09165
7.5150,2.7573,3.10933
7.4651,2.7585,3.12558
7.4151,2.7589,3.14040
7.3651,2.7587,-3.12940
7.3151,2.7577,-3.11744
7.2651,2.7563,-3.10691
7.2152,2.7543,-3.09782
7.1652,2.7519,-3.09015
7.1153,2.7492,-3.08393
7.0654,2.7462,-3.07913
7.0155,2.7430,-3.07577
6.9657,2.7396,-3.07391
6.9158,2.7362,-3.07297
6.8659,2.7328,-3.07183
6.8161,2.7293,-3.07076
6.7662,2.7257,-3.06968
6.7163,2.7221,-3.06861
6.6665,2.7184,-3.06755
6.6166,2.7147,-3.06649
6.5668,2.7109,-3.06543
6.5169,2.7071,-3.06438
6.4671,2.7032,-3.06334
6.4173,2.6993,-3.06228
6.3674,2.6953,-3.06124
6.3176,2.6912,-3.06019
6.2678,2.6871,-3.05915
6.2180,2.6830,-3.05812
6.1681,2.6788,-3.05708
6.1183,2.6746,-3.05604
6.0685,2.6703,-3.05502
6.0187,2.6659,-3.05399
5.9689,2.6615,-3.05296
5.9191,2.6571,-3.05193
5.8694,2.6526,-3.05091
5.8196,2.6480,-3.04989
5.7698,2.6434,-3.04887
5.7200,2.6388,-3.04786
5.6702,2.6340,-3.04685
5.6205,2.6293,-3.04583
5.5707,2.6245,-3.04482
5.5210,2.6196,-3.04381
5.4712,2.6147,-3.04282
5.4215,2.6098,-3.04181
5.3717,2.6048,-3.04081
5.3220,2.5997,-3.03981
5.2723,2.5946,-3.03882
5.2225,2.5895,-3.03783
5.1728,2.5843,-3.03684
5.1231,2.5790,-3.03584
5.0734,2.5737,-3.03486
5.0237,2.5684,-3.03388
4.9740,2.5630,-3.03289
4.9243,2.5575,-3.03191
4.8746,2.5520,-3.03093
4.8249,2.5465,-3.02995
4.7753,2.5409,-3.02898
4.7256,2.5352,-3.02801
4.6759,2.5295,-3.02704
4.6263,2.5238,-3.02607
4.5766,2.5180,-3.02510
4.5270,2.5122,-3.02414
4.4773,2.5063,-3.02317
4.4277,2.5004,-3.02220
4.3781,2.4944,-3.02123
4.3284,2.4884,-3.02019
4.2788,2.4823,-3.01968
4.2292,2.4762,-3.02105
4.1795,2.4703,-3.02399
4.1299,2.4645,-3.02857
4.0802,2.4590,-3.03478
4.0305,2.4539,-3.04260
3.9807,2.4492,-3.05203
3.9309,2.4450,-3.06307
3.8810,2.4414,-3.07571
3.8311,2.4384,-3.08995
3.7812,2.4362,-3.10578
3.7312,2.4349,-3.12319
3.6812,2.4344,3.14099
3.6312,2.4350,3.12041
3.5813,2.4366,3.09822
3.5314,2.4393,3.07446
3.4815,2.4433,3.04911
3.4318,2.4486,3.02215
3.3823,2.4552,2.99357
3.3330,2.4634,2.96337
3.2839,2.4730,2.93151
3.2352,2.4842,2.89795
3.1869,2.4971,2.86267
3.1391,2.5118,2.82560
3.0919,2.5282,2.78669
3.0454,2.5465,2.74586
2.9997,2.5668,2.70302
2.9549,2.5890,2.65806
2.9112,2.6133,2.61084
2.8688,2.6396,2.56121
2.8277,2.6681,2.50897
2.7882,2.6988,2.45390
2.7505,2.7316,2.39574
2.7148,2.7666,2.33422
2.6815,2.8038,2.26897
2.6507,2.8432,2.19957
2.6228,2.8847,2.12555
2.5981,2.9281,2.04588
2.5772,2.9735,1.96110
2.5601,3.0205,1.88002
2.5467,3.0686,1.80128
2.5372,3.1177,1.72470
2.5314,3.1673,1.65007
2.5293,3.2173,1.57707
2.5308,3.2672,1.50532
2.5358,3.3170,1.43431
2.5443,3.3662,1.36352
2.5564,3.4147,1.29213
2.5719,3.4622,1.21795
2.5910,3.5084,1.13833
2.6138,3.5529,1.05714
2.6400,3.5954,0.98240
2.6691,3.6361,0.91720
2.7006,3.6748,0.85767
2.7344,3.7117,0.80236
2.7700,3.7467,0.75039
2.8074,3.7799,0.70132
2.8464,3.8112,0.65482
2.8867,3.8408,0.61061
2.9282,3.8686,0.56851
2.9709,3.8946,0.52837
3.0146,3.9190,0.49006
3.0591,3.9417,0.45346
3.1044,3.9628,0.41850
3.1504,3.9824,0.38512
3.1970,4.0004,0.35323
3.2442,4.0170,0.32280
3.2918,4.0321,0.29378
3.3399,4.0459,0.26614
3.3883,4.0584,0.23983
3.4370,4.0697,0.21486
3.4859,4.0798,0.19120
3.5351,4.0887,0.16883
3.5845,4.0966,0.14775
3.6340,4.1035,0.12794
3.6836,4.1094,0.10941
3.7334,4.1144,0.09215
3.7832,4.1186,0.07616
3.8331,4.1220,0.06144
3.8830,4.1247,0.04799
3.9329,4.1268,0.03581
3.9829,4.1283,0.02490
4.0329,4.1293,0.01526
4.0829,4.1299,0.00691
4.1329,4.1301,-0.00017
